,epoch,train_loss,test_loss,train_acc,test_acc
0,1,1.6050787500212456,1.258542633475587,0.4124,0.5517
1,2,1.160704227456357,1.0403437004112208,0.58446,0.6346
2,3,0.8961533080364601,0.7715872617575307,0.68624,0.7332
3,4,0.7191137008211663,0.6410150877393472,0.75102,0.7853
4,5,0.6086653926989548,0.5718813343598439,0.78948,0.8042
5,6,0.5335723255270578,0.5581829887323867,0.81648,0.8167
6,7,0.47071041456606627,0.49086477714605603,0.83932,0.8379
7,8,0.4239821990121273,0.49484641145403013,0.85426,0.8398
8,9,0.3876262962870581,0.4368859325139858,0.86778,0.8544
9,10,0.35590276198601084,0.4799781312077,0.8762,0.8443
10,11,0.32251873257988856,0.4198086841490132,0.88842,0.8615
11,12,0.29866404067045665,0.40362229145849093,0.89656,0.8684
12,13,0.2764243331564422,0.3646464855216753,0.90408,0.881
13,14,0.2605283757062749,0.3554252240652093,0.91138,0.8873
14,15,0.23785830654027518,0.40093213623276536,0.91728,0.8722
15,16,0.2224483864068489,0.33564586183443046,0.92256,0.8951
16,17,0.20696607866799382,0.33961308541627355,0.9291,0.9007
17,18,0.19557169664046958,0.32953831183310517,0.93244,0.9024
18,19,0.18204515284256234,0.30416217630211345,0.93772,0.9028
19,20,0.17075537384016368,0.3139402949081633,0.94012,0.906
20,21,0.15969886968504596,0.32115962954101185,0.94422,0.905
21,22,0.15391156783980517,0.3494679373971666,0.94578,0.898
22,23,0.14343735271595867,0.3516630010899549,0.94892,0.8979
23,24,0.13560833442617762,0.30885704208802156,0.95274,0.9104
24,25,0.12680101884089254,0.33750270364788204,0.9557,0.9022
25,26,0.12111855799514593,0.31489761411762845,0.95748,0.9078
26,27,0.11549328483125136,0.3621374003766938,0.95982,0.9024
27,28,0.11167266933093717,0.3179301673921343,0.96094,0.9086
28,29,0.10346682635527724,0.2996428799994004,0.96362,0.9169
29,30,0.10010108973341443,0.3086322910917072,0.96512,0.9153
30,31,0.09849572290609199,0.30316027851861577,0.9655,0.9166
31,32,0.0896728544197923,0.33797483549106677,0.9683,0.9089
32,33,0.08678383897839237,0.34138629393214687,0.9692,0.9146
33,34,0.0813298174578569,0.34492462578998767,0.97186,0.91
34,35,0.07768857865628961,0.3245407997358281,0.97282,0.916
35,36,0.07775080955987444,0.31577059861343987,0.9733,0.9174
36,37,0.07307442498494056,0.3170005227565563,0.9742,0.9218
37,38,0.07053384118943141,0.33382270742838566,0.97548,0.9144
38,39,0.06659769792014317,0.31351739924829514,0.97728,0.9204
39,40,0.06396499431798722,0.3105442699732277,0.9772,0.9233
